"SEED","SUBJID","Sequence","DATE","SIGN","round","Status"
5861,1,"002_SP -> 002_PP -> 003","2020/03/04 12:30 PM","Patrícia Arriaga",1,"Completed"
5861,2,"003 -> 002_SP -> 002_PP","2020/03/04 4:20 PM","Nuno Piçarra",1,"Completed"
5861,3,"002_SP -> 002_PP -> 003","2020/03/04 4:54 PM","Diogo Martins",1,"Completed"
5861,4,"003 -> 002_SP -> 002_PP","2020/03/12 11:13 AM","Nuno Piçarra",1,"Completed"
5861,5,"003 -> 002_SP -> 002_PP","2020/03/12 11:50 AM","Nuno Piçarra",1,"Completed"
5861,6,"003 -> 002_SP -> 002_PP",,,1,
5861,7,"003 -> 002_SP -> 002_PP",,,1,
5861,8,"003 -> 002_SP -> 002_PP",,,1,
5861,9,"002_SP -> 002_PP -> 003",,,1,
5861,10,"003 -> 002_SP -> 002_PP",,,1,
5861,11,"003 -> 002_SP -> 002_PP",,,1,
5861,12,"003 -> 002_SP -> 002_PP",,,1,
5861,13,"002_SP -> 002_PP -> 003",,,1,
5861,14,"003 -> 002_SP -> 002_PP",,,1,
5861,15,"002_SP -> 002_PP -> 003",,,1,
5861,16,"003 -> 002_SP -> 002_PP",,,1,
5861,17,"002_SP -> 002_PP -> 003",,,1,
5861,18,"002_SP -> 002_PP -> 003",,,1,
5861,19,"002_SP -> 002_PP -> 003",,,1,
5861,20,"003 -> 002_SP -> 002_PP",,,1,
5861,21,"003 -> 002_SP -> 002_PP",,,1,
5861,22,"003 -> 002_SP -> 002_PP",,,1,
5861,23,"003 -> 002_SP -> 002_PP",,,1,
5861,24,"002_SP -> 002_PP -> 003",,,1,
5861,25,"002_SP -> 002_PP -> 003",,,1,
5861,26,"002_SP -> 002_PP -> 003",,,1,
5861,27,"002_SP -> 002_PP -> 003",,,1,
5861,28,"002_SP -> 002_PP -> 003",,,1,
5861,29,"003 -> 002_SP -> 002_PP",,,1,
5861,30,"003 -> 002_SP -> 002_PP",,,1,
5861,31,"003 -> 002_SP -> 002_PP",,,1,
5861,32,"002_SP -> 002_PP -> 003",,,1,
5861,33,"002_SP -> 002_PP -> 003",,,1,
5861,34,"003 -> 002_SP -> 002_PP",,,1,
5861,35,"002_SP -> 002_PP -> 003",,,1,
5861,36,"003 -> 002_SP -> 002_PP",,,1,
5861,37,"003 -> 002_SP -> 002_PP",,,1,
5861,38,"002_SP -> 002_PP -> 003",,,1,
5861,39,"002_SP -> 002_PP -> 003",,,1,
5861,40,"003 -> 002_SP -> 002_PP",,,1,
5861,41,"002_SP -> 002_PP -> 003",,,1,
5861,42,"002_SP -> 002_PP -> 003",,,1,
5861,43,"002_SP -> 002_PP -> 003",,,1,
5861,44,"003 -> 002_SP -> 002_PP",,,1,
5861,45,"002_SP -> 002_PP -> 003",,,1,
5861,46,"003 -> 002_SP -> 002_PP",,,1,
5861,47,"002_SP -> 002_PP -> 003",,,1,
5861,48,"002_SP -> 002_PP -> 003",,,1,
5861,49,"003 -> 002_SP -> 002_PP",,,1,
5861,50,"002_SP -> 002_PP -> 003",,,1,
